com.samsung.shealth.tracker.pedometer_step_count,6260063,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
4768,4,0,10,2023-12-07 00:06:00.000,,,2023-12-07 00:06:36.165,2023-12-07 00:06:34.027,10,1.5999538,7.629999,0.34,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 00:07:00.000,f6ebbc17-4642-4bf1-81be-d1b7b5acc39c,
5190,4,0,7,2023-12-07 07:00:00.000,,,2023-12-07 07:15:05.216,2023-12-07 07:15:05.216,7,1.0000001,5.19,0.25,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 07:01:00.000,292e1588-16a3-4995-96de-3863adea85b8,
14448,4,0,27,2023-12-07 07:39:00.000,,,2023-12-07 07:55:03.357,2023-12-07 07:55:03.357,27,1.4444444,20.87,0.88,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 07:40:00.000,32a09cc1-14be-4171-9f38-26b6f58e5483,
60000,4,0,111,2023-12-07 07:40:00.000,,,2023-12-07 07:55:03.399,2023-12-07 07:55:03.399,111,1.4138333,84.83,4.3,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 07:41:00.000,f3428411-1c18-4c37-a467-e9dd633a5bc1,
60000,4,0,112,2023-12-07 07:41:00.000,,,2023-12-07 07:55:03.417,2023-12-07 07:55:03.417,112,1.4223334,85.34,4.43,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 07:42:00.000,f6640ebb-79f5-459a-8973-c9962e78d80c,
60000,4,0,111,2023-12-07 07:42:00.000,,,2023-12-07 07:55:03.438,2023-12-07 07:55:03.438,111,1.4139999,84.84,4.31,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 07:43:00.000,47f02195-6385-47ac-ab3b-ddbc8d327c31,
44848,4,0,41,2023-12-07 07:43:00.000,,,2023-12-07 07:55:03.464,2023-12-07 07:55:03.464,105,1.3888888,62.29,4.06,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 07:44:00.000,b05c133f-8010-4210-b041-7fe8d42ff350,
48683,4,0,78,2023-12-07 07:44:00.000,,,2023-12-07 07:55:03.482,2023-12-07 07:55:03.482,80,1.1944444,58.15,3.17,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 07:45:00.000,1b0854cd-68a0-4a8e-af2d-6b3353064735,
36168,4,0,65,2023-12-07 07:59:00.000,,,2023-12-07 08:15:04.475,2023-12-07 08:15:04.475,65,1.3611109,49.23,2.51,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:00:00.000,a467aa50-10f9-4b45-b3a4-402e74285494,
56189,4,0,75,2023-12-07 08:00:00.000,,,2023-12-07 08:15:04.511,2023-12-07 08:15:04.511,105,1.3333334,74.92,5.44,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:01:00.000,1b1de675-404f-4c8b-bdeb-7e726ecab011,
60000,4,0,117,2023-12-07 08:01:00.000,,,2023-12-07 08:15:04.530,2023-12-07 08:15:04.530,117,1.5070001,90.42,3.52,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:02:00.000,b16ae803-62a9-418b-b18f-3fb5f8201d06,
60000,4,0,114,2023-12-07 08:02:00.000,,,2023-12-07 08:15:04.546,2023-12-07 08:15:04.546,114,1.4631668,87.79,3.44,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:03:00.000,02678f86-d7e1-444b-aa1e-706f4241eb37,
60000,4,0,114,2023-12-07 08:03:00.000,,,2023-12-07 08:15:04.575,2023-12-07 08:15:04.575,114,1.4616666,87.7,3.58,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:04:00.000,27748dad-4e4e-4687-bf7a-d3bdea5f7a32,
60000,4,0,113,2023-12-07 08:04:00.000,,,2023-12-07 08:15:04.587,2023-12-07 08:15:04.587,113,1.4468334,86.81,3.64,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:05:00.000,8b9dc062-6918-473d-a565-57efaa462da6,
60000,4,0,114,2023-12-07 08:05:00.000,,,2023-12-07 08:15:04.598,2023-12-07 08:15:04.598,114,1.4629999,87.78,3.43,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:06:00.000,bc8ab459-8959-4988-8491-d7ec3909cdad,
60000,4,0,115,2023-12-07 08:06:00.000,,,2023-12-07 08:15:04.619,2023-12-07 08:15:04.619,115,1.4758333,88.55,3.45,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:07:00.000,8f688eab-5131-44e7-8718-b5e76113584c,
24254,4,0,35,2023-12-07 08:07:00.000,,,2023-12-07 08:15:04.638,2023-12-07 08:15:04.638,47,1.4166666,34.36,1.84,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:08:00.000,019ef55e-a231-47bb-a81b-2ec17bad933d,
32344,4,0,56,2023-12-07 08:08:00.000,,,2023-12-07 08:15:04.651,2023-12-07 08:15:04.651,54,1.25,40.43,2.05,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:09:00.000,ecd83344-bda2-407e-857a-f56d877a26b7,
17898,4,0,23,2023-12-07 08:09:00.000,,,2023-12-07 08:15:04.671,2023-12-07 08:15:04.671,32,1.2777778,22.87,1.42,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 08:10:00.000,ee29abe0-bd59-40b0-b2c0-a18a469e9bd8,
3982,4,0,7,2023-12-07 10:10:00.000,,,2023-12-07 10:15:03.453,2023-12-07 10:15:03.453,7,1.3611112,5.42,0.24,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 10:11:00.000,4f59b5d0-24d2-4c1d-a0d4-5cbc5442f451,
11940,4,0,19,2023-12-07 10:58:00.000,,,2023-12-07 11:15:03.263,2023-12-07 11:15:03.263,19,1.1666666,13.93,0.73,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 10:59:00.000,b79f4480-5e74-464c-8f87-60d4e913d93a,
24487,4,0,17,2023-12-07 10:59:00.000,,,2023-12-07 11:15:03.339,2023-12-07 11:15:03.339,65,1.3611112,33.33,2.29,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:00:00.000,27138802-33c5-4dff-986c-889b867d2bf9,
11737,4,0,19,2023-12-07 11:00:00.000,,,2023-12-07 11:15:03.397,2023-12-07 11:15:03.397,19,1.1944444,14.02,0.73,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:01:00.000,5ba2913e-a514-4d2e-a722-36f4e43f3d1a,
7367,4,0,12,2023-12-07 11:01:00.000,,,2023-12-07 11:15:03.441,2023-12-07 11:15:03.441,12,1.1944444,8.8,0.45,UTC+0100,Ws70Yf4UjB,com.sec.android.app.shealth,2023-12-07 11:02:00.000,49e6f88d-fcad-4a02-8842-4bfc83644be3,
